"","sample","file","No.","Peak Name","Retention Time","Area","Height","Relative Area","Relative Height","Amount","group","inc_time","site"
"109","cri7","FID0214_cri7_100ul-nhex.xls",5,"i-16:0",13.9833333333333,1.4468051,24.71812016,1.44369534503672,1.33689121890157,NA,"C16",7,"intact biocrust"
"110","cri7","FID0214_cri7_100ul-nhex.xls",7,"16:1 cis 9",14.225,6.81682540625586,156.094293176056,6.80217335903752,8.44243366877935,NA,"C16",7,"intact biocrust"
"111","cri7","FID0214_cri7_100ul-nhex.xls",9,"16:0",14.6166666666667,10.73055078,228.143857386139,10.707486592884,12.3392684237951,NA,"C16",7,"intact biocrust"
"112","cri7","FID0214_cri7_100ul-nhex.xls",10,"i-17:0",15.645,0.2463235175,7.20615897727273,0.245794071079664,0.389748516325874,NA,"C17",7,"intact biocrust"
"113","cri7","FID0214_cri7_100ul-nhex.xls",11,"17:1 cis 10",15.85,0.405280874999999,13.1549448378378,0.404409766505459,0.711491412979683,NA,"C17",7,"intact biocrust"
"114","cri7","FID0214_cri7_100ul-nhex.xls",12,"17:0 cyclo",16.0016666666667,0.149854659166668,4.71472688888887,0.14953256238244,0.254998233541829,NA,"C17",7,"intact biocrust"
"115","cri7","FID0214_cri7_100ul-nhex.xls",13,"17:0",16.2733333333333,0.108635497500002,3.51915229166668,0.10840199695626,0.190335016022777,NA,"C17",7,"intact biocrust"
"116","cri7","FID0214_cri7_100ul-nhex.xls",NA,"18:3 cis 3, 9, 12",NA,NA,NA,NA,NA,NA,"C18",7,"intact biocrust"
"117","cri7","FID0214_cri7_100ul-nhex.xls",14,"18:2 trans 9, 12",17.45,9.08867169193435,161.239378909502,9.06913655074385,8.72070806396053,NA,"C18",7,"intact biocrust"
"118","cri7","FID0214_cri7_100ul-nhex.xls",15,"18:1 trans 9",17.5866666666667,14.9442317895663,254.423178918552,14.9121107395507,13.7605979572694,NA,"C18",7,"intact biocrust"
"119","cri7","FID0214_cri7_100ul-nhex.xls",16,"18:1 cis 9",17.685,8.79408678183252,191.676321022624,8.77518481983547,10.366904472824,NA,"C18",7,"intact biocrust"
